"","duration","gross","genres","movie_title","num_voted_users","plot_keywords","movie_imdb_link","language","country","budget","title_year","imdb_score"
"31",143,304360277,"Action|Adventure|Thriller","Skyfall ",522030,"brawl|childhood home|computer cracker|intelligence agency|terrorist cell","http://www.imdb.com/title/tt1074638/?ref_=fn_tt_tt_1","English","UK",2e+08,2012,7.8
"32",135,373377893,"Action|Adventure|Fantasy|Romance","Spider-Man 2 ",411164,"death|doctor|scientist|super villain|tentacle","http://www.imdb.com/title/tt0316654/?ref_=fn_tt_tt_1","English","USA",2e+08,2004,7.3
"33",195,408992272,"Action|Adventure|Sci-Fi","Iron Man 3 ",557489,"armor|explosion|human bomb|missile attack|terrorist","http://www.imdb.com/title/tt1300854/?ref_=fn_tt_tt_1","English","USA",2e+08,2013,7.2
"34",108,334185206,"Adventure|Family|Fantasy","Alice in Wonderland ",306320,"alice in wonderland|mistaking reality for dream|queen|shrinking|shrinking potion","http://www.imdb.com/title/tt1014759/?ref_=fn_tt_tt_1","English","USA",2e+08,2010,6.5
"35",104,234360014,"Action|Adventure|Fantasy|Sci-Fi|Thriller","X-Men: The Last Stand ",383427,"battle|mutant|outrage|walking through a wall|x men","http://www.imdb.com/title/tt0376994/?ref_=fn_tt_tt_1","English","Canada",2.1e+08,2006,6.8
"36",104,268488329,"Adventure|Animation|Comedy|Family|Fantasy","Monsters University ",235025,"cheating|fraternity|monster|singing in a car|university","http://www.imdb.com/title/tt1453405/?ref_=fn_tt_tt_1","English","USA",2e+08,2013,7.3
"37",150,402076689,"Action|Adventure|Sci-Fi","Transformers: Revenge of the Fallen ",323207,"autobot|decepticon|machine|sun|symbol","http://www.imdb.com/title/tt1055369/?ref_=fn_tt_tt_1","English","USA",2e+08,2009,6
"38",165,245428137,"Action|Adventure|Sci-Fi","Transformers: Age of Extinction ",242420,"blockbuster|bumblebee the character|semi truck and trailer|texas|truck","http://www.imdb.com/title/tt2109248/?ref_=fn_tt_tt_1","English","USA",2.1e+08,2014,5.7
"39",130,234903076,"Adventure|Family|Fantasy","Oz the Great and Powerful ",175409,"circus|magic|magician|oz|witch","http://www.imdb.com/title/tt1623205/?ref_=fn_tt_tt_1","English","USA",2.15e+08,2013,6.4
"40",142,202853933,"Action|Adventure|Fantasy|Sci-Fi","The Amazing Spider-Man 2 ",321227,"costumed hero|death of girlfriend|masked vigilante|returning character killed off|teenager","http://www.imdb.com/title/tt1872181/?ref_=fn_tt_tt_1","English","USA",2e+08,2014,6.7
"41",125,172051787,"Action|Adventure|Sci-Fi","TRON: Legacy ",264183,"arcade|bridge|disappearance|escape|warrior","http://www.imdb.com/title/tt1104001/?ref_=fn_tt_tt_1","English","USA",1.7e+08,2010,6.8
"42",106,191450875,"Adventure|Animation|Comedy|Family|Sport","Cars 2 ",101178,"best friend|car race|conspiracy|gadget car|spy","http://www.imdb.com/title/tt1216475/?ref_=fn_tt_tt_1","English","USA",2e+08,2011,6.3
"43",123,116593191,"Action|Adventure|Sci-Fi","Green Lantern ",223393,"autopsy|lantern|planet|ring|test pilot","http://www.imdb.com/title/tt1133985/?ref_=fn_tt_tt_1","English","USA",2e+08,2011,5.6
"44",103,414984497,"Adventure|Animation|Comedy|Family|Fantasy","Toy Story 3 ",544884,"college|day care|escape|teddy bear|toy","http://www.imdb.com/title/tt0435761/?ref_=fn_tt_tt_1","English","USA",2e+08,2010,8.3
"45",118,125320003,"Action|Adventure|Sci-Fi","Terminator Salvation ",286095,"death row|future|machine|rescue|skynet","http://www.imdb.com/title/tt0438488/?ref_=fn_tt_tt_1","English","USA",2e+08,2009,6.6
"46",140,350034110,"Action|Crime|Thriller","Furious 7 ",278232,"car falling off a cliff|hospital|revenge|star died before release|terrorist","http://www.imdb.com/title/tt2820852/?ref_=fn_tt_tt_1","English","USA",1.9e+08,2015,7.2
"47",123,202351611,"Action|Adventure|Horror|Sci-Fi|Thriller","World War Z ",465019,"chaos|disease|infection|pandemic|zombie","http://www.imdb.com/title/tt0816711/?ref_=fn_tt_tt_1","English","USA",1.9e+08,2013,7
"48",149,233914986,"Action|Adventure|Fantasy|Sci-Fi|Thriller","X-Men: Days of Future Past ",514125,"dystopia|super strength|supernatural power|time paradox|time travel","http://www.imdb.com/title/tt1877832/?ref_=fn_tt_tt_1","English","USA",2e+08,2014,8
"49",132,228756232,"Action|Adventure|Sci-Fi","Star Trek Into Darkness ",395573,"admiral|captain|manhunt|mission|space","http://www.imdb.com/title/tt1408101/?ref_=fn_tt_tt_1","English","USA",1.9e+08,2013,7.8
"50",114,65171860,"Adventure|Fantasy","Jack the Giant Slayer ",106416,"bean|giant|king|no opening credits|princess","http://www.imdb.com/title/tt1351685/?ref_=fn_tt_tt_1","English","USA",1.95e+08,2013,6.3
"51",143,144812796,"Drama|Romance","The Great Gatsby ",362912,"ingratitude|mansion|party|title appears in writing|tragedy","http://www.imdb.com/title/tt1343092/?ref_=fn_tt_tt_1","English","Australia",1.05e+08,2013,7.3
"52",116,90755643,"Action|Adventure|Fantasy|Romance","Prince of Persia: The Sands of Time ",222403,"alamut|dagger|king|persia|princess","http://www.imdb.com/title/tt0473075/?ref_=fn_tt_tt_1","English","USA",2e+08,2010,6.6
"53",131,101785482,"Action|Adventure|Sci-Fi","Pacific Rim ",381148,"giant monster|kaiju|pilot|portal|robot","http://www.imdb.com/title/tt1663662/?ref_=fn_tt_tt_1","English","USA",1.9e+08,2013,7
"54",154,352358779,"Action|Adventure|Sci-Fi","Transformers: Dark of the Moon ",326180,"autobot|decepticon|job interview|moon|spacecraft","http://www.imdb.com/title/tt1399103/?ref_=fn_tt_tt_1","English","USA",1.95e+08,2011,6.3
"55",122,317011114,"Action|Adventure|Fantasy","Indiana Jones and the Kingdom of the Crystal Skull ",333847,"cult figure|femme fatale|indiana jones|unsubtitled foreign language|year 1957","http://www.imdb.com/title/tt0367882/?ref_=fn_tt_tt_1","English","USA",1.85e+08,2008,6.2
"57",93,237282182,"Adventure|Animation|Comedy|Family|Fantasy","Brave ",273556,"archery|coming of age|female warrior|princess|rebellious daughter","http://www.imdb.com/title/tt1217209/?ref_=fn_tt_tt_1","English","USA",1.85e+08,2012,7.2
"58",122,130468626,"Action|Adventure|Sci-Fi|Thriller","Star Trek Beyond ",53607,"hatred|sequel|space opera|star trek|third part","http://www.imdb.com/title/tt2660888/?ref_=fn_tt_tt_1","English","USA",1.85e+08,2016,7.5
"59",98,223806889,"Adventure|Animation|Family|Sci-Fi","WALL·E ",718837,"earth|obesity|plant|robot|soil","http://www.imdb.com/title/tt0910970/?ref_=fn_tt_tt_1","English","USA",1.8e+08,2008,8.4
"60",91,140080850,"Action|Comedy|Crime|Thriller","Rush Hour 3 ",121084,"ambassador|assassination|chinese|french|triad","http://www.imdb.com/title/tt0293564/?ref_=fn_tt_tt_1","English","USA",1.4e+08,2007,6.2
"61",158,166112167,"Action|Adventure|Sci-Fi","2012",283418,"ark|catastrophe|geologist|president|writer","http://www.imdb.com/title/tt1190080/?ref_=fn_tt_tt_1","English","USA",2e+08,2009,5.8
"62",96,137850096,"Animation|Drama|Family|Fantasy","A Christmas Carol ",72809,"charles dickens|christmas|christmas eve|ghost|scrooge","http://www.imdb.com/title/tt1067106/?ref_=fn_tt_tt_1","English","USA",2e+08,2009,6.8
"63",127,47375327,"Action|Adventure|Sci-Fi","Jupiter Ascending ",139593,"box office flop|critically bashed|planet earth|space opera|woman in bra and panties","http://www.imdb.com/title/tt1617661/?ref_=fn_tt_tt_1","English","USA",1.76e+08,2015,5.4
"64",110,124051759,"Action|Adventure|Drama|Romance","The Legend of Tarzan ",42372,"africa|capture|jungle|male objectification|tarzan","http://www.imdb.com/title/tt0918940/?ref_=fn_tt_tt_1","English","USA",1.8e+08,2016,6.6
"65",150,291709845,"Adventure|Family|Fantasy","The Chronicles of Narnia: The Lion, the Witch and the Wardrobe ",286506,"hide and seek|lion|magic|professor|snow","http://www.imdb.com/title/tt0363771/?ref_=fn_tt_tt_1","English","USA",1.8e+08,2005,6.9
"66",144,154985087,"Action|Adventure|Sci-Fi","X-Men: Apocalypse ",148379,"mutant|superhero|superhero team|x men|year 1983","http://www.imdb.com/title/tt3385516/?ref_=fn_tt_tt_1","English","USA",1.78e+08,2016,7.3
"67",152,533316061,"Action|Crime|Drama|Thriller","The Dark Knight ",1676169,"based on comic book|dc comics|psychopath|star died before release|urban setting","http://www.imdb.com/title/tt0468569/?ref_=fn_tt_tt_1","English","USA",1.85e+08,2008,9
"68",96,292979556,"Adventure|Animation|Comedy|Family","Up ",665575,"balloon|house|promise|retirement|skeleton","http://www.imdb.com/title/tt1049413/?ref_=fn_tt_tt_1","English","USA",1.75e+08,2009,8.3
"69",94,198332128,"Action|Adventure|Animation|Comedy|Family|Sci-Fi","Monsters vs. Aliens ",114553,"alien|alien invasion|alien space craft|giant|giantess","http://www.imdb.com/title/tt0892782/?ref_=fn_tt_tt_1","English","USA",1.75e+08,2009,6.5
"70",126,318298180,"Action|Adventure|Sci-Fi","Iron Man ",696338,"afghanistan|billionaire|inventor|playboy|u.s. air force","http://www.imdb.com/title/tt0371746/?ref_=fn_tt_tt_1","English","USA",1.4e+08,2008,7.9
"71",126,73820094,"Adventure|Drama|Family|Mystery","Hugo ",245333,"automaton|mechanical|railway station|steampunk|train","http://www.imdb.com/title/tt0970179/?ref_=fn_tt_tt_1","English","USA",1.7e+08,2011,7.5
"72",106,113745408,"Action|Comedy|Sci-Fi|Western","Wild Wild West ",129601,"buddy movie|general|inventor|steampunk|utah","http://www.imdb.com/title/tt0120891/?ref_=fn_tt_tt_1","English","USA",1.7e+08,1999,4.8
"73",112,102176165,"Action|Adventure|Fantasy|Horror|Thriller","The Mummy: Tomb of the Dragon Emperor ",117927,"army|china|emperor|mummy|shangri la","http://www.imdb.com/title/tt0859163/?ref_=fn_tt_tt_1","English","USA",1.45e+08,2008,5.2
"74",123,161087183,"Action|Adventure|Comedy|Sci-Fi","Suicide Squad ",118992,"based on comic book|critically bashed|father daughter relationship|reference to superman|super villain","http://www.imdb.com/title/tt1386697/?ref_=fn_tt_tt_1","English","USA",1.75e+08,2016,6.9
"75",96,100289690,"Comedy|Family|Fantasy","Evan Almighty ",115099,"ark|change|congressman|depiction of god|flood","http://www.imdb.com/title/tt0413099/?ref_=fn_tt_tt_1","English","USA",1.75e+08,2007,5.4
"76",113,100189501,"Action|Adventure|Sci-Fi","Edge of Tomorrow ",431620,"alien|combat|dying repeatedly|end of the world|time loop","http://www.imdb.com/title/tt1631867/?ref_=fn_tt_tt_1","English","USA",1.78e+08,2014,7.9
"77",176,88246220,"Action|Adventure|Sci-Fi|Thriller","Waterworld ",144337,"future|sail|sea|smoker|water","http://www.imdb.com/title/tt0114898/?ref_=fn_tt_tt_1","English","USA",1.75e+08,1995,6.1
"78",118,150167630,"Action|Adventure|Sci-Fi|Thriller","G.I. Joe: The Rise of Cobra ",174578,"cobra|gi joe|snake|train|warhead","http://www.imdb.com/title/tt1046173/?ref_=fn_tt_tt_1","English","USA",1.75e+08,2009,5.8
"79",95,356454367,"Adventure|Animation|Comedy|Drama|Family|Fantasy","Inside Out ",345198,"anger|joy|memory|running away|sadness","http://www.imdb.com/title/tt2096673/?ref_=fn_tt_tt_1","English","USA",1.75e+08,2015,8.3
"80",106,362645141,"Adventure|Drama|Family|Fantasy","The Jungle Book ",106072,"fire|jungle|remake|tiger|wolf","http://www.imdb.com/title/tt3040964/?ref_=fn_tt_tt_1","English","UK",1.75e+08,2016,7.8
"81",124,312057433,"Action|Adventure|Sci-Fi","Iron Man 2 ",522371,"hammer|military|monaco|revenge|tony stark","http://www.imdb.com/title/tt1228705/?ref_=fn_tt_tt_1","English","USA",2e+08,2010,7
"82",132,155111815,"Action|Adventure|Drama|Fantasy","Snow White and the Huntsman ",228554,"evil queen|fairy tale|magic|queen|snow white","http://www.imdb.com/title/tt1735898/?ref_=fn_tt_tt_1","English","USA",1.7e+08,2012,6.1
"83",97,241407328,"Action|Adventure|Family|Fantasy|Romance","Maleficent ",252257,"curse|dark fantasy|fairy|king|kingdom","http://www.imdb.com/title/tt1587310/?ref_=fn_tt_tt_1","English","USA",1.8e+08,2014,7
"84",130,208543795,"Action|Adventure|Drama|Sci-Fi","Dawn of the Planet of the Apes ",317542,"ape|dam|leader|post apocalypse|sequel","http://www.imdb.com/title/tt2103281/?ref_=fn_tt_tt_1","English","USA",1.7e+08,2014,7.6
"86",128,38297305,"Action|Adventure|Drama|Fantasy","47 Ronin ",116994,"box office flop|ronin|samurai|shogun|tournament","http://www.imdb.com/title/tt1335975/?ref_=fn_tt_tt_1","English","USA",1.75e+08,2013,6.3
"87",136,259746958,"Action|Adventure|Sci-Fi","Captain America: The Winter Soldier ",496749,"conspiracy|heroism|megalomaniac|super soldier|world domination","http://www.imdb.com/title/tt1843866/?ref_=fn_tt_tt_1","English","USA",1.7e+08,2014,7.8
"88",93,238371987,"Adventure|Animation|Comedy|Family|Fantasy","Shrek Forever After ",138661,"alternate world|fairy tale parody|female warrior|ogre|true love","http://www.imdb.com/title/tt0892791/?ref_=fn_tt_tt_1","English","USA",1.65e+08,2010,6.4
"89",130,93417865,"Action|Adventure|Family|Mystery|Sci-Fi","Tomorrowland ",128306,"boy genius|futuristic city|inventor|teenage girl|time travel","http://www.imdb.com/title/tt1964418/?ref_=fn_tt_tt_1","English","USA",1.9e+08,2015,6.5
"90",102,222487711,"Action|Adventure|Animation|Comedy|Drama|Family|Sci-Fi","Big Hero 6 ",279093,"high tech|martial arts|masked man|robot|superhero","http://www.imdb.com/title/tt2245084/?ref_=fn_tt_tt_1","English","USA",1.65e+08,2014,7.9
"91",101,189412677,"Adventure|Animation|Comedy|Family|Sci-Fi","Wreck-It Ralph ",272534,"arcade|candy|glitch|king|medal","http://www.imdb.com/title/tt1772341/?ref_=fn_tt_tt_1","English","USA",1.65e+08,2012,7.8
"92",100,665426,"Adventure|Animation|Family|Fantasy","The Polar Express ",120798,"boy|christmas|christmas eve|north pole|train","http://www.imdb.com/title/tt0338348/?ref_=fn_tt_tt_1","English","USA",1.65e+08,2004,6.6
"93",120,102315545,"Action|Adventure|Sci-Fi","Independence Day: Resurgence ",58137,"alien|battle|defense|independence day|mothership","http://www.imdb.com/title/tt1628841/?ref_=fn_tt_tt_1","English","USA",1.65e+08,2016,5.5
"94",98,217387997,"Adventure|Animation|Family|Fantasy","How to Train Your Dragon ",485430,"dragon|island|training|viking|village","http://www.imdb.com/title/tt0892769/?ref_=fn_tt_tt_1","English","USA",1.65e+08,2010,8.2
"95",109,150350192,"Action|Sci-Fi","Terminator 3: Rise of the Machines ",305340,"drifter|exploding truck|future|machine|skynet","http://www.imdb.com/title/tt0181852/?ref_=fn_tt_tt_1","English","USA",2e+08,2003,6.4
"96",121,333130696,"Action|Adventure|Sci-Fi","Guardians of the Galaxy ",682155,"bounty hunter|outer space|raccoon|talking animal|tree","http://www.imdb.com/title/tt2015381/?ref_=fn_tt_tt_1","English","USA",1.7e+08,2014,8.1
"97",169,187991439,"Adventure|Drama|Sci-Fi","Interstellar ",928227,"black hole|father daughter relationship|saving the world|space travel|wormhole","http://www.imdb.com/title/tt0816692/?ref_=fn_tt_tt_1","English","USA",1.65e+08,2014,8.6
"98",148,292568851,"Action|Adventure|Sci-Fi|Thriller","Inception ",1468200,"ambiguous ending|corporate espionage|dream|subconscious|thief","http://www.imdb.com/title/tt1375666/?ref_=fn_tt_tt_1","English","USA",1.6e+08,2010,8.8
"100",182,303001229,"Adventure|Fantasy","The Hobbit: An Unexpected Journey ",637246,"dragon|dwarf|hobbit|orc|wizard","http://www.imdb.com/title/tt0903624/?ref_=fn_tt_tt_1","English","USA",1.8e+08,2012,7.9
"101",106,144512310,"Action|Crime|Thriller","The Fast and the Furious ",272223,"eighteen wheeler|illegal street racing|truck|trucker|undercover cop","http://www.imdb.com/title/tt0232500/?ref_=fn_tt_tt_1","English","USA",3.8e+07,2001,6.7
"102",166,127490802,"Drama|Fantasy|Romance","The Curious Case of Benjamin Button ",459346,"deformed baby|diary|lingerie slip|older man younger woman relationship|premature aging","http://www.imdb.com/title/tt0421715/?ref_=fn_tt_tt_1","English","USA",1.5e+08,2008,7.8
"103",132,146405371,"Action|Adventure|Sci-Fi","X-Men: First Class ",518537,"cia|cia agent|mutant|nuclear war|professor","http://www.imdb.com/title/tt1270798/?ref_=fn_tt_tt_1","English","USA",1.6e+08,2011,7.8
"104",137,281666058,"Adventure|Sci-Fi","The Hunger Games: Mockingjay - Part 2 ",166137,"death of sister|dystopia|execution|rebellion|revolution","http://www.imdb.com/title/tt1951266/?ref_=fn_tt_tt_1","English","USA",1.6e+08,2015,6.6
"105",109,63143812,"Action|Adventure|Family|Fantasy","The Sorcerer's Apprentice ",124185,"chosen one|enchanted object|love|spell|training","http://www.imdb.com/title/tt0963966/?ref_=fn_tt_tt_1","English","USA",1.5e+08,2010,6.1
"106",98,60655503,"Action|Adventure|Drama|Thriller","Poseidon ",82380,"cruise|escape|ocean|passenger|water","http://www.imdb.com/title/tt0409182/?ref_=fn_tt_tt_1","English","USA",1.6e+08,2006,5.6
"107",113,76846624,"Adventure|Family|Fantasy","Alice Through the Looking Glass ",21352,"clock|dark fantasy|mad hatter|queen|sequel","http://www.imdb.com/title/tt2567026/?ref_=fn_tt_tt_1","English","USA",1.7e+08,2016,6.4
"108",93,320706665,"Adventure|Animation|Comedy|Family|Fantasy","Shrek the Third ",211971,"disney spoof|fairy tale|prince|princess|tough guy","http://www.imdb.com/title/tt0413267/?ref_=fn_tt_tt_1","English","USA",1.6e+08,2007,6.1
"109",123,46978995,"Action|Adventure|Fantasy","Warcraft ",111609,"based on video game|fictional language|fictional war|orc|sword and sorcery","http://www.imdb.com/title/tt0803096/?ref_=fn_tt_tt_1","English","USA",1.6e+08,2016,7.3
"110",126,89732035,"Action|Adventure|Sci-Fi","Terminator Genisys ",188457,"alternate timeline|cyborg|future|robot|time machine","http://www.imdb.com/title/tt1340138/?ref_=fn_tt_tt_1","English","USA",1.55e+08,2015,6.6
"111",113,104383624,"Adventure|Family|Fantasy","The Chronicles of Narnia: The Voyage of the Dawn Treader ",106446,"dragon|king|mouse|quest|warrior","http://www.imdb.com/title/tt0980970/?ref_=fn_tt_tt_1","English","USA",1.55e+08,2010,6.3
"112",184,198539855,"Action|Drama|History|Romance|War","Pearl Harbor ",254111,"air raid|black smoke|japanese military|japanese navy|sunday","http://www.imdb.com/title/tt0213149/?ref_=fn_tt_tt_1","English","USA",1.4e+08,2001,6.1
"113",144,318759914,"Action|Adventure|Sci-Fi","Transformers ",513158,"alien contact|autobot|decepticon|robot vs. robot|teenage hero","http://www.imdb.com/title/tt0418279/?ref_=fn_tt_tt_1","English","USA",1.5e+08,2007,7.1
"114",206,34293771,"Action|Adventure|Biography|Drama|History|Romance|War","Alexander ",138863,"ancient greece|conquest|greek|greek myth|king","http://www.imdb.com/title/tt0346491/?ref_=fn_tt_tt_1","English","Germany",1.55e+08,2004,5.5
"115",138,292000866,"Adventure|Family|Fantasy|Mystery","Harry Potter and the Order of the Phoenix ",355137,"battle|magic|school|teacher|wizard","http://www.imdb.com/title/tt0373889/?ref_=fn_tt_tt_1","English","UK",1.5e+08,2007,7.5
"116",157,289994397,"Adventure|Family|Fantasy|Mystery","Harry Potter and the Goblet of Fire ",385670,"fire|goblet|magic|tournament|wizard","http://www.imdb.com/title/tt0330373/?ref_=fn_tt_tt_1","English","UK",1.5e+08,2005,7.6
"117",102,227946274,"Action|Drama","Hancock ",343648,"bully comeuppance|destruction|prison|superhero|tough girl","http://www.imdb.com/title/tt0448157/?ref_=fn_tt_tt_1","English","USA",1.5e+08,2008,6.4
"118",104,256386216,"Drama|Horror|Sci-Fi","I Am Legend ",530870,"new york city|pandemic|post apocalypse|survivalist|virus","http://www.imdb.com/title/tt0480249/?ref_=fn_tt_tt_1","English","USA",1.5e+08,2007,7.2
"119",115,206456431,"Adventure|Comedy|Family|Fantasy","Charlie and the Chocolate Factory ",320284,"chocolate|diminution|miniaturization|physical flexability|ticket","http://www.imdb.com/title/tt0367594/?ref_=fn_tt_tt_1","English","USA",1.5e+08,2005,6.7
"120",111,206435493,"Animation|Comedy|Family|Fantasy","Ratatouille ",473887,"chef|food|french|rat|restaurant","http://www.imdb.com/title/tt0382932/?ref_=fn_tt_tt_1","English","USA",1.5e+08,2007,8
"121",128,205343774,"Action|Adventure","Batman Begins ",980946,"armored car|gangster|gotham|mixed martial arts|social decay","http://www.imdb.com/title/tt0372784/?ref_=fn_tt_tt_1","English","USA",1.5e+08,2005,8.3
"122",89,179982968,"Action|Adventure|Animation|Comedy|Family","Madagascar: Escape 2 Africa ",146019,"africa|madagascar|new york city|sequel|zoo","http://www.imdb.com/title/tt0479952/?ref_=fn_tt_tt_1","English","USA",1.5e+08,2008,6.7
